Category,Name,Price_PLN,Performance_Score,Socket,RAM_Type,TDP_W,Power_W,Form_Factor,Length_mm,Height_mm
CPU,Intel Core Gen-11 Model-0,3254,3180,LGA1851,,58,,,,
CPU,AMD Ryzen Gen-14 Model-1,1322,1235,AM5,,117,,,,
CPU,Intel Core Gen-10 Model-2,3030,3041,LGA1700,,80,,,,
CPU,Intel Core Gen-9 Model-3,427,474,AM4,,239,,,,
CPU,Intel Core Gen-10 Model-4,938,863,LGA1200,,86,,,,
CPU,AMD Ryzen Gen-11 Model-5,626,705,AM5,,102,,,,
CPU,Intel Core Gen-10 Model-6,393,370,AM5,,45,,,,
CPU,AMD Ryzen Gen-14 Model-7,886,1058,LGA1851,,242,,,,
CPU,Intel Core Gen-13 Model-8,1990,1686,LGA1851,,164,,,,
CPU,AMD Ryzen Gen-12 Model-9,2919,3483,LGA1700,,56,,,,
CPU,AMD Ryzen Gen-11 Model-10,2348,1953,LGA1700,,54,,,,
CPU,Intel Core Gen-12 Model-11,2521,2627,AM5,,175,,,,
CPU,Intel Core Gen-12 Model-12,1289,1322,LGA1200,,75,,,,
CPU,Intel Core Gen-12 Model-13,1981,2139,LGA1851,,248,,,,
CPU,AMD Ryzen Gen-12 Model-14,1824,1887,AM5,,243,,,,
CPU,Intel Core Gen-9 Model-15,3379,3873,LGA1851,,223,,,,
CPU,AMD Ryzen Gen-14 Model-16,1812,1661,LGA1200,,205,,,,
CPU,AMD Ryzen Gen-13 Model-17,1776,1868,AM5,,131,,,,
CPU,Intel Core Gen-14 Model-18,1383,1249,LGA1700,,111,,,,
CPU,Intel Core Gen-10 Model-19,1495,1196,AM4,,51,,,,
CPU,Intel Core Gen-10 Model-20,776,853,AM5,,94,,,,
CPU,Intel Core Gen-13 Model-21,2459,2568,LGA1851,,203,,,,
CPU,Intel Core Gen-14 Model-22,1742,1888,AM5,,200,,,,
CPU,AMD Ryzen Gen-11 Model-23,1687,1715,LGA1200,,119,,,,
CPU,Intel Core Gen-12 Model-24,2188,2201,AM5,,66,,,,
CPU,Intel Core Gen-9 Model-25,1107,1082,LGA1200,,237,,,,
CPU,AMD Ryzen Gen-11 Model-26,2678,2338,LGA1200,,92,,,,
CPU,AMD Ryzen Gen-11 Model-27,799,776,LGA1200,,123,,,,
CPU,Intel Core Gen-11 Model-28,1955,2113,AM5,,197,,,,
CPU,Intel Core Gen-11 Model-29,796,854,LGA1200,,95,,,,
CPU,AMD Ryzen Gen-14 Model-30,3329,2717,LGA1700,,248,,,,
CPU,AMD Ryzen Gen-10 Model-31,3364,3620,AM4,,225,,,,
CPU,Intel Core Gen-14 Model-32,956,925,LGA1200,,179,,,,
CPU,AMD Ryzen Gen-14 Model-33,3427,2741,AM4,,78,,,,
CPU,Intel Core Gen-12 Model-34,1283,1242,LGA1200,,185,,,,
CPU,Intel Core Gen-9 Model-35,1853,1939,LGA1851,,168,,,,
CPU,Intel Core Gen-9 Model-36,2237,2200,AM4,,168,,,,
CPU,Intel Core Gen-13 Model-37,3009,2481,LGA1200,,116,,,,
CPU,AMD Ryzen Gen-12 Model-38,512,468,LGA1200,,160,,,,
CPU,Intel Core Gen-14 Model-39,750,878,LGA1851,,172,,,,
CPU,Intel Core Gen-14 Model-40,2679,3192,LGA1200,,188,,,,
CPU,Intel Core Gen-12 Model-41,914,950,LGA1200,,194,,,,
